symbols,scrips,Date,Close,Today - yesterday Price,5% lower or upper hit?,How much is 5% price diff,5% down price,How much is 5% price diff,5% up price,# days,Back to back
HDFCBANK,EQ,11/05/20,916,-13,,,,,,,
HDFCBANK,EQ,12/05/20,902,-14,,,,,,,
HDFCBANK,EQ,13/05/20,928,26,,,,,,,
HDFCBANK,EQ,14/05/20,894,-34,,,,,,,
HDFCBANK,EQ,15/05/20,888,-6,,,,,,,
HDFCBANK,EQ,18/05/20,837,-51,Y,41.85,795.15,41.85,878.85,10,
HDFCBANK,EQ,19/05/20,831,-6,,,,,,,
HDFCBANK,EQ,20/05/20,857,26,,,,,,,
HDFCBANK,EQ,21/05/20,860,3,,,,,,,
HDFCBANK,EQ,22/05/20,839,-21,,,,,,,
HDFCBANK,EQ,26/05/20,852,13,,,,,,,
HDFCBANK,EQ,27/05/20,904,52,Y,45.2,858.8,45.2,949.2,,
HDFCBANK,EQ,28/05/20,945,41,,,,,,,
HDFCBANK,EQ,29/05/20,952,7,Y,47.6,904.4,47.6,999.6,,
HDFCBANK,EQ,01/06/20,988,36,,,,,,,
HDFCBANK,EQ,02/06/20,1001,13,Y,50.05,950.95,50.05,1051.05,,
HDFCBANK,EQ,03/06/20,1022,21,,,,,,,
HDFCBANK,EQ,04/06/20,1002,-20,,,,,,,
HDFCBANK,EQ,05/06/20,1033,31,,,,,,,
HDFCBANK,EQ,08/06/20,1016,-17,,,,,,,
HDFCBANK,EQ,09/06/20,987,-29,,,,,,,
HDFCBANK,EQ,10/06/20,992,5,,,,,,,
HDFCBANK,EQ,11/06/20,969,-23,,,,,,,
HDFCBANK,EQ,12/06/20,983,14,,,,,,,
HDFCBANK,EQ,15/06/20,950,-33,,,,,,,
HDFCBANK,EQ,16/06/20,990,40,,,,,,,
HDFCBANK,EQ,17/06/20,979,-11,,,,,,,
HDFCBANK,EQ,18/06/20,1020,41,,,,,,,
HDFCBANK,EQ,19/06/20,1033,13,,,,,,,
HDFCBANK,EQ,22/06/20,1029,-4,,,,,,,
HDFCBANK,EQ,23/06/20,1042,13,,,,,,,
HDFCBANK,EQ,24/06/20,1033,-9,,,,,,,
HDFCBANK,EQ,25/06/20,1029,-4,,,,,,,
HDFCBANK,EQ,26/06/20,1056,27,Y,52.8,1003.2,52.8,1108.8,,
HDFCBANK,EQ,29/06/20,1076,20,,,,,,,
HDFCBANK,EQ,30/06/20,1066,-10,,,,,,,
HDFCBANK,EQ,01/07/20,1085,19,,,,,,,
HDFCBANK,EQ,02/07/20,1089,4,,,,,,,
HDFCBANK,EQ,03/07/20,1079,-10,,,,,,,
